Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
20000103,-0.009787,-0.022928,-999,-0.019608,-0.037475,-0.025858,0.029002,-0.012212,-999,-0.024431,-0.019221,-0.030181
20000104,-0.039106,-0.009627,-999,-0.018824,-0.043716,-0.027627,-0.050733,-0.028159,-999,-0.030165,-0.022692,-0.030083
20000105,0.001789,0.041312,-999,0.026379,-0.007857,-0.004457,-0.014846,0.017668,-999,0.025235,-0.008971,-0.012299
20000106,-0.016071,0.025671,-999,0.038551,0.043916,0.01343,-0.033153,0.01875,-999,-0.001717,0.003195,0.01137
20000107,0.058076,-0.000569,-999,0.010686,0.016552,0.0381,0.017456,0.063395,-999,0.008601,0.012208,0.047109
20000110,0.003431,-0.003415,-999,-0.008347,-0.017639,0,0.03799,-0.022436,-999,0.003411,0.102255,-0.005112
20000111,-0.013248,-0.011993,-999,0.001122,-0.016575,-0.012766,-0.028335,0,-999,-0.010765,-0.026641,-0.005653
20000112,-0.008662,-0.014451,-999,-0.004484,0.019663,-0.011853,-0.004253,0.005246,-999,-0.010309,-0.016618,-0.005685
20000113,0.013543,0.004106,-999,0.017455,0.030303,0.019084,0.009152,0.005219,-999,-0.009259,0.029821,0.005198
20000114,0.013578,-0.007009,-999,-0.006087,0.023396,-0.006956,0.022975,0.003245,-999,0.008178,-0.008687,-0.002585
20000118,-0.007867,-0.024118,-999,0.012249,-0.033312,-0.001078,0.005319,-0.016818,-999,-0.004056,-0.0185,-0.005702
20000119,0.003,-0.019289,-999,-0.0033,-0.003378,-0.003236,0.001764,0.007237,-999,0.000582,0.02381,-0.002086
20000120,-0.010256,-0.026429,-999,0,-0.018305,-0.006494,0.005869,-0.013717,-999,0.004651,-0.007752,-0.013584
20000121,-0.002159,0.004419,-999,0.027594,-0.012431,-0.012527,0.001167,-0.011258,-999,0.032407,-0.001953,-0.020657
20000124,-0.028343,-0.026398,-999,-0.035446,-0.018182,-0.028682,-0.032634,-0.028801,-999,-0.013453,-0.029843,-0.037317
20000125,0.011356,-0.018722,-999,-0.002227,0.010684,-0.005679,0.021386,-0.012414,-999,-0.023295,0.00706,0.00618
20000126,-0.007926,0,-999,-0.015625,0.03735,0.007995,-0.032734,0.009078,-999,-0.004654,-0.004507,0.007259
20000127,-0.003995,0.005263,-999,-0.020408,0.01087,0.005666,-0.009756,0.018685,-999,-0.006429,-0.006036,-0.002772
20000128,-0.031194,-0.017016,-999,-0.011574,-0.034946,-0.026479,-0.035714,-0.008152,-999,-0.005294,-0.020243,-0.039466
20000131,0.027599,-0.005992,-999,0.023419,0.027855,0.006944,0.033206,0.018493,-999,0.046127,-0.004649,0.007523
20000201,0.0094,0.018084,-999,-0.002288,0.00542,-0.006897,0.021014,-0.010087,-999,-0.007349,0.012974,0.036186
20000202,0.000887,0.004605,-999,0.006307,-0.010108,0.000579,0.007264,0.002038,-999,-0.005125,0.02459,-0.006652
